feature,importance
TPressParameterCode_86.0,0
TPressParameterCode_64.0,0
TPressParameterCode_53.0,0
TPressSetupCode_47,0
TPressParameterCode_21.0,0
TPressSetupCode_49,0
TPressSetupCode_100,0
TPressSetupCode_126,0
TPressParameterCode_52.0,0
TPressSetupCode_124,0
TPressSetupCode_123,0
TPressSetupCode_120,0
TPressSetupCode_119,0
TPressSetupCode_110,0
TPressSetupCode_109,0
TPressSetupCode_108,0
TPressSetupCode_105,0
TPressSetupCode_104,0
TPressSetupCode_103,0
TPressSetupCode_102,0
TPressSetupCode_101,0
TPressSetupCode_85,0
TPressSetupCode_50,0
TPressSetupCode_83,0
TPressSetupCode_81,0
TPressSetupCode_79,0
TPressParameterCode_20.0,0
TPressSetupCode_68,0
TPressSetupCode_64,0
TPressSetupCode_62,0
TPressSetupCode_61,0
TPressSetupCode_60,0
TPressSetupCode_59,0
TPressSetupCode_57,0
TPressSetupCode_53,0
TPressSetupCode_52,0
TPressSetupCode_51,0
TPressSetupCode_69,0
