iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_imputation__params,param_feature_selection__threshold,param_feature_selection__strategy,param_feature_extraction__params,param_feature_extraction__n_lags,param_classifier__base_estimator__n_estimators,param_classifier__base_estimator__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,57,0.023312091827392578,0.006439530626027775,0.0,0.0,"('interpolate', ('polynomial', 2))",0.85,pca,"('pycatch22', {})",5,50,5,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.02751460075378418,0.005783378615357839,0.0,0.0,"('interpolate', ('polynomial', 3))",0.95,correlation,"('pycatch22', {})",8,100,7,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.06334123611450196,0.0633143414004505,0.0052433967590332035,0.010486793518066407,"('interpolate', ('spline', 3))",0.85,correlation,"('pycatch22', {})",3,50,5,"{'imputation__params': ('interpolate', ('spline', 3)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.06380767822265625,0.07092380441649414,0.0038125038146972655,0.007625007629394532,"('interpolate', ('polynomial', 3))",0.85,correlation,"('pycatch22', {})",3,25,7,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.027232837677001954,0.0034034157564128598,0.0,0.0,"('interpolate', ('polynomial', 3))",0.9,pca,"('pycatch22', {})",5,100,5,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.03692460060119629,0.007055890187542433,0.0,0.0,"('interpolate', ('polynomial', 3))",0.95,correlation,"('pycatch22', {})",5,50,3,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.05065927505493164,0.04283534533960902,0.004254341125488281,0.008508682250976562,"('interpolate', ('polynomial', 3))",0.85,correlation,"('pycatch22', {})",3,25,5,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.05456442832946777,0.04727266427292777,0.003036785125732422,0.006073570251464845,"('interpolate', ('polynomial', 2))",0.95,correlation,"('pycatch22', {})",3,100,7,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.0545405387878418,0.050163302276875904,0.0037323951721191405,0.007464790344238282,"('ffill', None)",0.9,correlation,"('pycatch22', {})",3,100,3,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.02152848243713379,0.007344545410718318,0.0,0.0,"('interpolate', ('polynomial', 2))",0.85,correlation,"('pycatch22', {})",5,100,7,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
