mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__base_estimator__max_depth,param_classifier__base_estimator__n_estimators,param_feature_extraction__n_lags,param_feature_selection__strategy,param_feature_selection__threshold,param_feature_selection__variance_threshold,param_imputation__method,param_imputation__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
14.382154655456542,1.1973492100933059,0.937510633468628,0.13246473722267377,3,50,1,pca,0.85,0.95,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.85, 'feature_selection__variance_threshold': 0.95, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5166144745998608,0.48617658577624345,0.4474912644682245,0.5737518116847419,0.6279680871272083,0.5304004447312558,0.0639038664004998,4669,0.8995877430470096,0.8264258835445635,0.8077767116228656,0.7791323577453699,0.7602762577905088,0.8146397907500635,0.04820443953068715
14.263712406158447,2.1616131932542246,0.9170061588287354,0.09120341892276267,3,50,1,pca,0.85,0.95,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.85, 'feature_selection__variance_threshold': 0.95, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5166144745998608,0.48617658577624345,0.4474912644682245,0.5737518116847419,0.6279680871272083,0.5304004447312558,0.0639038664004998,4669,0.8995877430470096,0.8264258835445635,0.8077767116228656,0.7791323577453699,0.7602762577905088,0.8146397907500635,0.04820443953068715
13.936243200302124,1.696811207040556,0.907341194152832,0.13929108880734528,3,50,1,pca,0.85,0.99,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.85, 'feature_selection__variance_threshold': 0.99, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5610178791285263,0.6268911097895302,0.4981505241319066,0.6351541806187215,0.683101012202513,0.6008629411742394,0.06442658546696543,1705,0.917825498400197,0.8446208435102025,0.8218699468699469,0.8088008141999146,0.7737622728222269,0.8333758751604975,0.04805890088069469
13.894788217544555,1.7202092495863428,1.0375379562377929,0.09308242853259627,3,50,1,pca,0.85,0.99,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.85, 'feature_selection__variance_threshold': 0.99, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5610178791285263,0.6268911097895302,0.4981505241319066,0.6351541806187215,0.683101012202513,0.6008629411742394,0.06442658546696543,1705,0.917825498400197,0.8446208435102025,0.8218699468699469,0.8088008141999146,0.7737622728222269,0.8333758751604975,0.04805890088069469
13.117597103118896,1.369460982838022,1.0171982765197753,0.1770092607370989,3,50,1,pca,0.9,0.9,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.9, 'feature_selection__variance_threshold': 0.9, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5166144745998608,0.48617658577624345,0.4474912644682245,0.5737518116847419,0.6279680871272083,0.5304004447312558,0.0639038664004998,4669,0.8995877430470096,0.8264258835445635,0.8077767116228656,0.7791323577453699,0.7602762577905088,0.8146397907500635,0.04820443953068715
13.035219049453735,2.982002937277743,1.076152753829956,0.26601411656534546,3,50,1,pca,0.9,0.9,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.9, 'feature_selection__variance_threshold': 0.9, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5166144745998608,0.48617658577624345,0.4474912644682245,0.5737518116847419,0.6279680871272083,0.5304004447312558,0.0639038664004998,4669,0.8995877430470096,0.8264258835445635,0.8077767116228656,0.7791323577453699,0.7602762577905088,0.8146397907500635,0.04820443953068715
14.180839538574219,2.577893995093692,1.0513795852661132,0.20370290085311937,3,50,1,pca,0.9,0.95,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.9, 'feature_selection__variance_threshold': 0.95, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5166144745998608,0.48617658577624345,0.4474912644682245,0.5737518116847419,0.6279680871272083,0.5304004447312558,0.0639038664004998,4669,0.8995877430470096,0.8264258835445635,0.8077767116228656,0.7791323577453699,0.7602762577905088,0.8146397907500635,0.04820443953068715
13.844099187850953,1.676994146429864,1.0882367610931396,0.17779151272226504,3,50,1,pca,0.9,0.95,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.9, 'feature_selection__variance_threshold': 0.95, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5166144745998608,0.48617658577624345,0.4474912644682245,0.5737518116847419,0.6279680871272083,0.5304004447312558,0.0639038664004998,4669,0.8995877430470096,0.8264258835445635,0.8077767116228656,0.7791323577453699,0.7602762577905088,0.8146397907500635,0.04820443953068715
14.171006870269775,2.296150743833731,1.0428979396820068,0.1791047239121232,3,50,1,pca,0.9,0.99,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.9, 'feature_selection__variance_threshold': 0.99, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5610178791285263,0.6268911097895302,0.4981505241319066,0.6351541806187215,0.683101012202513,0.6008629411742394,0.06442658546696543,1705,0.917825498400197,0.8446208435102025,0.8218699468699469,0.8088008141999146,0.7737622728222269,0.8333758751604975,0.04805890088069469
14.146782398223877,2.0251066279856915,1.0964151859283446,0.17537888092188156,3,50,1,pca,0.9,0.99,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.9, 'feature_selection__variance_threshold': 0.99, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5610178791285263,0.6268911097895302,0.4981505241319066,0.6351541806187215,0.683101012202513,0.6008629411742394,0.06442658546696543,1705,0.917825498400197,0.8446208435102025,0.8218699468699469,0.8088008141999146,0.7737622728222269,0.8333758751604975,0.04805890088069469
14.996164178848266,2.6253094345750676,1.0622460842132568,0.1566711960496229,3,50,1,pca,0.95,0.9,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.95, 'feature_selection__variance_threshold': 0.9, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5166144745998608,0.48617658577624345,0.4474912644682245,0.5737518116847419,0.6279680871272083,0.5304004447312558,0.0639038664004998,4669,0.8995877430470096,0.8264258835445635,0.8077767116228656,0.7791323577453699,0.7602762577905088,0.8146397907500635,0.04820443953068715
15.761783838272095,1.9480566456953745,0.9903858184814454,0.1598453057138958,3,50,1,pca,0.95,0.9,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.95, 'feature_selection__variance_threshold': 0.9, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5166144745998608,0.48617658577624345,0.4474912644682245,0.5737518116847419,0.6279680871272083,0.5304004447312558,0.0639038664004998,4669,0.8995877430470096,0.8264258835445635,0.8077767116228656,0.7791323577453699,0.7602762577905088,0.8146397907500635,0.04820443953068715
17.23895630836487,2.7504432673068595,1.1520631313323975,0.2467706177816606,3,50,1,pca,0.95,0.95,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.95, 'feature_selection__variance_threshold': 0.95, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5166144745998608,0.48617658577624345,0.4474912644682245,0.5737518116847419,0.6279680871272083,0.5304004447312558,0.0639038664004998,4669,0.8995877430470096,0.8264258835445635,0.8077767116228656,0.7791323577453699,0.7602762577905088,0.8146397907500635,0.04820443953068715
18.32236294746399,1.5431971804158375,1.0975303649902344,0.25746578486844807,3,50,1,pca,0.95,0.95,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.95, 'feature_selection__variance_threshold': 0.95, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5166144745998608,0.48617658577624345,0.4474912644682245,0.5737518116847419,0.6279680871272083,0.5304004447312558,0.0639038664004998,4669,0.8995877430470096,0.8264258835445635,0.8077767116228656,0.7791323577453699,0.7602762577905088,0.8146397907500635,0.04820443953068715
19.391162633895874,2.3514712430723472,1.011123037338257,0.1869139120535239,3,50,1,pca,0.95,0.99,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.95, 'feature_selection__variance_threshold': 0.99, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5610178791285263,0.6268911097895302,0.4981505241319066,0.6351541806187215,0.683101012202513,0.6008629411742394,0.06442658546696543,1705,0.917825498400197,0.8446208435102025,0.8218699468699469,0.8088008141999146,0.7737622728222269,0.8333758751604975,0.04805890088069469
19.30593967437744,2.2444524767400424,0.9519512176513671,0.1120840121651952,3,50,1,pca,0.95,0.99,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'pca', 'feature_selection__threshold': 0.95, 'feature_selection__variance_threshold': 0.99, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5610178791285263,0.6268911097895302,0.4981505241319066,0.6351541806187215,0.683101012202513,0.6008629411742394,0.06442658546696543,1705,0.917825498400197,0.8446208435102025,0.8218699468699469,0.8088008141999146,0.7737622728222269,0.8333758751604975,0.04805890088069469
